sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_P,135,47.5897,35,20,5117.468191,0.391861953,23.18721664,13568.55018
OAT_P,135,51.6018,35,20,5129.129741,0.395873839,23.24482557,13585.27381
OAT_P,135,53.3726,35,20,5134.276739,0.397644544,23.27025213,13592.65503
OAT_P,135,58.9471,35,20,5150.479553,0.403218747,23.35029524,13615.8912
OAT_P,135,54.3483,35,20,5137.112704,0.398620192,23.284262,13596.72203
OAT_P,135,49.8649,35,20,5124.081276,0.394137032,23.21988577,13578.03389
OAT_P,135,46.3486,35,20,5113.860816,0.39062092,23.16939594,13563.37691
OAT_P,135,52.2665,35,20,5131.061755,0.396538504,23.25436986,13588.04447
OAT_P,135,40.0757,35,20,5095.628036,0.384348355,23.07932464,13537.2296
OAT_P,135,59.7531,35,20,5152.822269,0.404024704,23.36186843,13619.25085
OAT_P,135,40.7136,35,20,5097.482153,0.384986221,23.08848411,13539.88856
OAT_P,135,48.4505,35,20,5119.970188,0.392722707,23.19957669,13572.13825
OAT_P,135,59.2537,35,20,5151.370715,0.40352533,23.35469765,13617.1692
OAT_P,135,59.256,35,20,5151.3774,0.40352763,23.35473067,13617.17879
OAT_P,135,52.4394,35,20,5131.564305,0.396711394,23.2568525,13588.76517
OAT_P,135,50.7243,35,20,5126.579204,0.394996386,23.23222572,13581.61613
OAT_P,135,56.737,35,20,5144.055688,0.401008765,23.31856086,13606.67885
OAT_P,135,58.5335,35,20,5149.277386,0.402805169,23.34435644,13614.16719
OAT_P,135,44.3512,35,20,5108.055183,0.388623626,23.14071567,13555.05115
OAT_P,135,51.4222,35,20,5128.607716,0.395694249,23.24224673,13584.52518
OAT_P,135,45.47,35,20,5111.307082,0.389742367,23.1567803,13559.71464
OAT_P,135,50.1527,35,20,5124.917794,0.394424817,23.22401824,13579.23353
OAT_P,135,51.1461,35,20,5127.805206,0.395418163,23.23828226,13583.37431
OAT_P,135,42.8146,35,20,5103.588909,0.387087109,23.11865195,13548.64615
OAT_P,135,50.1303,35,20,5124.852686,0.394402418,23.2236966,13579.14016
OAT_P,135,41.3658,35,20,5099.377834,0.385638386,23.09784892,13542.60712
OAT_P,135,54.9603,35,20,5138.89154,0.39923216,23.29304959,13599.27303
OAT_P,135,47.0762,35,20,5115.975654,0.391348481,23.1798434,13566.40976
OAT_P,135,52.2335,35,20,5130.965837,0.396505505,23.25389602,13587.90692
OAT_P,135,55.8898,35,20,5141.59322,0.40016161,23.30639609,13603.14746
OAT_P,135,40.76,35,20,5097.617019,0.385032618,23.08915036,13540.08197
OAT_P,135,59.8309,35,20,5153.048402,0.404102499,23.36298554,13619.57514
OAT_P,135,48.9799,35,20,5121.508939,0.393252079,23.20717824,13574.34495
OAT_P,135,40.7603,35,20,5097.617891,0.385032918,23.08915467,13540.08322
OAT_P,135,42.3362,35,20,5102.198394,0.386608734,23.1117827,13546.65204
OAT_P,135,51.5095,35,20,5128.861462,0.395781544,23.24350025,13584.88907
OAT_P,135,55.0265,35,20,5139.083957,0.399298356,23.29400014,13599.54897
OAT_P,135,50.6379,35,20,5126.328074,0.394909991,23.23098512,13581.25599
OAT_P,135,41.2041,35,20,5098.907838,0.385476695,23.0955271,13541.93311
OAT_P,135,46.3018,35,20,5113.724787,0.390574122,23.16872394,13563.18183
OAT_P,135,46.3666,35,20,5113.913135,0.390638919,23.16965439,13563.45194
OAT_P,135,54.1563,35,20,5136.554638,0.398428203,23.28150511,13595.92172
OAT_P,135,41.3389,35,20,5099.299647,0.385611487,23.09746267,13542.49499
OAT_P,135,58.9618,35,20,5150.52228,0.403233446,23.35050631,13615.95247
OAT_P,135,55.2923,35,20,5139.85653,0.399564142,23.29781671,13600.65691
OAT_P,135,42.82,35,20,5103.604605,0.387092508,23.11872948,13548.66866
OAT_P,135,42.9862,35,20,5104.087681,0.387258699,23.12111592,13549.36143
OAT_P,135,56.572,35,20,5143.576099,0.400843774,23.31619166,13605.99108
OAT_P,135,59.0152,35,20,5150.677492,0.403286843,23.35127307,13616.17506
OAT_P,135,46.9957,35,20,5115.741674,0.391267985,23.17868751,13566.07421
OAT_P,135,45.4055,35,20,5111.119606,0.38967787,23.15585415,13559.44579
OAT_P,135,49.991,35,20,5124.447798,0.394263125,23.22169642,13578.55951
OAT_P,135,42.965,35,20,5104.026061,0.387237501,23.12081151,13549.27306
